CGFour:
Cell: [2] (40.791107, 94.66233, 50.34674); node id: 6
Cell: [3] (-21.085762, 68.40002, 4.488037); node id: 7
Cell: [4] (-79.09669, 127.74306, -4.613899); node id: 0
Cell: [5] (-38.52078, 117.60826, 39.898438); node id: 1
Cell: [6] (17.145302, 86.82114, 40.79854); node id: 2
Cell: [7] (60.967438, 160.86697, -22.542747); node id: 3
Cell: [8] (-46.325695, 95.276436, 69.18739); node id: 4
Cell: [9] (15.502335, 77.67395, 8.0314865); node id: 5
Cell: [10] (-5.9539795, 119.46962, -41.43643); node id: 6
Cell: [11] (7.3364487, 138.72711, -33.96592); node id: 7
Cell: [12] (-74.61859, 104.2094, -0.9772568); node id: 0
Cell: [13] (-40.813244, 44.898857, 27.872192); node id: 1
Cell: [14] (31.1642, 29.59236, -4.8789825); node id: 2
Cell: [15] (68.94496, 116.49153, 43.556076); node id: 3
Cell: [16] (0.8086548, 125.37507, 2.21566); node id: 4
Cell: [17] (-21.830818, 73.08254, -70.146835); node id: 5
Cell: [18] (-67.36649, 124.78745, -48.062134); node id: 6
Cell: [19] (-57.97151, 91.4258, -18.050766); node id: 7
Cell: [20] (-19.334854, 150.60869, 30.619202); node id: 0
Cell: [21] (-42.1507, 150.32181, -8.251526); node id: 1
Cell: [22] (24.83342, 36.352062, -12.514603); node id: 2
Cell: [23] (-60.412945, 111.84938, 0.54403687); node id: 3
Cell: [24] (45.51007, 114.179695, 35.89572); node id: 4
Cell: [25] (21.321129, 21.737076, 20.849922); node id: 5
Cell: [26] (12.608543, 74.56963, 4.478264); node id: 6
Cell: [27] (-10.760986, 20.408333, 27.43808); node id: 7
Cell: [28] (68.22725, 151.41359, -9.614197); node id: 0
Cell: [29] (-14.446548, 139.55829, 78.38942); node id: 1
Cell: [30] (15.849541, 134.34424, -57.162846); node id: 2
Cell: [31] (-46.154152, 146.14105, -42.029537); node id: 3
Cell: [32] (-74.69981, 85.15153, -10.546722); node id: 4
Cell: [33] (-64.69833, 120.56902, 10.729645); node id: 5
Cell: [34] (-11.1543045, 150.75786, 70.862686); node id: 6
Cell: [35] (21.849182, 36.985146, -13.580582); node id: 7
Cell: [36] (17.932251, 100.47949, 35.86229); node id: 0
Cell: [37] (-66.78551, 142.35614, -36.087906); node id: 1
Cell: [38] (-51.376785, 102.30234, -5.576721); node id: 2
Cell: [39] (-41.684174, 67.78776, 49.682938); node id: 3
Cell: [40] (-8.189323, 29.218315, 24.975601); node id: 4
Cell: [41] (63.187683, 152.23653, -21.748718); node id: 5
